time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
656,0,0,1,10100010110,0,1,0,1,0,0,0,1,0,1,1,0,0,0,-198,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,-34,"-34,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, 
657,0,0,1,10100001010,0,1,0,1,0,0,0,0,1,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-202,"-202,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0, 
658,0,0,1,10011111110,0,1,0,0,1,1,1,1,1,1,1,0,0,0,162,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,17,"17,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1, 
659,0,0,1,10011110010,0,1,0,0,1,1,1,1,0,0,1,0,0,0,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,205,"205,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1, 
660,0,0,1,10011100110,0,1,0,0,1,1,1,0,0,1,1,0,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,"-1,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
661,0,0,1,10011011010,0,1,0,0,1,1,0,1,1,0,1,0,0,0,-72,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,-174,"-174,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0, 
662,0,0,1,10011001111,0,1,0,0,1,1,0,0,1,1,1,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
663,0,0,1,10011000011,0,1,0,0,1,1,0,0,0,0,1,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,103,"103,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
664,0,0,1,10010110111,0,1,0,0,1,0,1,1,0,1,1,1,0,0,-116,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,111,"111,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1, 
665,0,0,1,10010101011,0,1,0,0,1,0,1,0,1,0,1,1,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,-40,"-40,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0, 
666,0,0,1,10010011111,0,1,0,0,1,0,0,1,1,1,1,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-186,"-186,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0, 
667,0,0,1,10010010010,0,1,0,0,1,0,0,1,0,0,1,0,0,0,178,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,38,"38,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0, 
668,0,0,1,10010000110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,-70,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,227,"227,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1, 
669,0,0,1,10001111010,0,1,0,0,0,1,1,1,1,0,1,0,0,0,-164,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,-43,"-43,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1, 
670,0,0,1,10001101110,0,1,0,0,0,1,1,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-218,"-218,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0, 
671,0,0,1,10001100010,0,1,0,0,0,1,1,0,0,0,1,0,0,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,35,"35,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1, 
672,0,0,1,10001010110,0,1,0,0,0,1,0,1,0,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,160,"160,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0, 
673,0,0,1,10001001010,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-145,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,21,"21,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1, 
674,0,0,1,10000111101,0,1,0,0,0,0,1,1,1,1,0,1,0,0,-100,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,-96,"-96,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0, 
675,0,0,1,10000110001,0,1,0,0,0,0,1,1,0,0,0,1,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-106,"-106,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
676,0,0,1,10000100101,0,1,0,0,0,0,1,0,0,1,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,57,"57,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1, 
677,0,0,1,10000011001,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-75,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,214,"214,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0, 
678,0,0,1,10000001100,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,-60,"-60,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
679,0,0,1,10000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,-229,"-229,",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1, 
680,0,0,1,1111110100,0,0,1,1,1,1,1,1,0,1,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
681,0,0,1,1111101000,0,0,1,1,1,1,1,0,1,0,0,0,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,221,"221,",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1, 
682,0,0,1,1111011011,0,0,1,1,1,1,0,1,1,0,1,1,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-53,"-53,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
683,0,0,1,1111001111,0,0,1,1,1,1,0,0,1,1,1,1,0,0,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-160,"-160,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0, 
684,0,0,1,1111000011,0,0,1,1,1,1,0,0,0,0,1,1,0,0,181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,-10,"-10,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0, 
685,0,0,1,1110110110,0,0,1,1,1,0,1,1,0,1,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,95,"95,",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1, 
686,0,0,1,1110101010,0,0,1,1,1,0,1,0,1,0,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
687,0,0,1,1110011110,0,0,1,1,1,0,0,1,1,1,1,0,0,0,-94,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,-77,"-77,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1, 
688,0,0,1,1110010010,0,0,1,1,1,0,0,1,0,0,1,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,-179,"-179,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1, 
689,0,0,1,1110000101,0,0,1,1,1,0,0,0,0,1,0,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
690,0,0,1,1101111001,0,0,1,1,0,1,1,1,1,0,0,1,0,0,-38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,211,"211,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1, 
691,0,0,1,1101101101,0,0,1,1,0,1,1,0,1,1,0,1,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,-84,"-84,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0, 
692,0,0,1,1101100001,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-200,"-200,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
693,0,0,1,1101010101,0,0,1,1,0,1,0,1,0,1,0,1,0,0,236,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
694,0,0,1,1101001001,0,0,1,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,157,"157,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1, 
695,0,0,1,1100111101,0,0,1,1,0,0,1,1,1,1,0,1,0,0,-205,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,13,"13,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
696,0,0,1,1100110000,0,0,1,1,0,0,1,1,0,0,0,0,0,0,-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-124,"-124,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
697,0,0,1,1100100100,0,0,1,1,0,0,1,0,0,1,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-99,"-99,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1, 
698,0,0,1,1100011000,0,0,1,1,0,0,0,1,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,106,"106,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, 
699,0,0,1,1100001100,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,151,"151,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
700,0,0,1,1100000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-132,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,-102,"-102,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0, 
701,0,0,1,1011110101,0,0,1,0,1,1,1,1,0,1,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-177,"-177,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1, 
702,0,0,1,1011101001,0,0,1,0,1,1,1,0,1,0,0,1,0,0,202,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,84,"84,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0, 
703,0,0,1,1011011101,0,0,1,0,1,1,0,1,1,1,0,1,0,0,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,180,"180,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0, 
704,0,0,1,1011010001,0,0,1,0,1,1,0,1,0,0,0,1,0,0,-235,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
705,0,0,1,1011000101,0,0,1,0,1,1,0,0,0,1,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-163,"-163,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1, 
706,0,0,1,1010111001,0,0,1,0,1,0,1,1,1,0,0,1,0,0,211,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,-18,"-18,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0, 
707,0,0,1,1010101110,0,0,1,0,1,0,1,0,1,1,1,0,0,0,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,151,"151,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
708,0,0,1,1010100010,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
709,0,0,1,1010010111,0,0,1,0,1,0,0,1,0,1,1,1,0,0,-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-138,"-138,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
710,0,0,1,1010001011,0,0,1,0,1,0,0,0,1,0,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,-118,"-118,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0, 
711,0,0,1,1010000000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,119,"119,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1, 
712,0,0,1,1001110100,0,0,1,0,0,1,1,1,0,1,0,0,0,0,-40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,144,"144,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0, 
713,0,0,1,1001101001,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-196,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-71,"-71,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1, 
714,0,0,1,1001011110,0,0,1,0,0,1,0,1,1,1,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-165,"-165,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1, 
715,0,0,1,1001010010,0,0,1,0,0,1,0,1,0,0,1,0,0,0,237,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,22,"22,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0, 
716,0,0,1,1001000111,0,0,1,0,0,1,0,0,0,1,1,1,0,0,-44,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,182,"182,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0, 
717,0,0,1,1000111100,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-202,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,23,"23,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1, 
718,0,0,1,1000110001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-190,"-190,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0, 
719,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-51,"-51,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1, 
720,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,172,"172,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0, 
721,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-94,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,82,"82,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0, 
722,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,-128,"-128,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
723,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-111,"-111,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1, 
724,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,63,"63,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1, 
725,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,150,"150,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0, 
726,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,-13,"-13,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1, 
727,0,0,1,111010001,0,0,0,1,1,1,0,1,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-200,"-200,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
728,0,0,1,111000110,0,0,0,1,1,1,0,0,0,1,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-18,"-18,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0, 
729,0,0,1,110111100,0,0,0,1,1,0,1,1,1,1,0,0,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,226,"226,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0, 
730,0,0,1,110110010,0,0,0,1,1,0,1,1,0,0,1,0,0,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,24,"24,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
731,0,0,1,110101000,0,0,0,1,1,0,1,0,1,0,0,0,0,0,-42,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
732,0,0,1,110011110,0,0,0,1,1,0,0,1,1,1,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-40,"-40,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0, 
733,0,0,1,110010100,0,0,0,1,1,0,0,1,0,1,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,135,"135,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1, 
734,0,0,1,110001010,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-96,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
735,0,0,1,110000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-54,"-54,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0, 
736,0,0,1,101110111,0,0,0,1,0,1,1,1,0,1,1,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-151,"-151,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1, 
737,0,0,1,101101101,0,0,0,1,0,1,1,0,1,1,0,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,13,"13,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
738,0,0,1,101100100,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,213,"213,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1, 
739,0,0,1,101011010,0,0,0,1,0,1,0,1,1,0,1,0,0,0,-182,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,-1,"-1,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
740,0,0,1,101010001,0,0,0,1,0,1,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-237,"-237,",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1, 
741,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,6,"6,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0, 
742,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,200,"200,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0, 
743,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,14,"14,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0, 
744,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-128,"-128,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
745,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-68,"-68,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0, 
746,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,55,"55,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1, 
747,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,147,"147,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1, 
748,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-22,"-22,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0, 
749,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-216,"-216,",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0, 
750,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,19,"19,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1, 
751,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,237,"237,",0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1, 
752,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-187,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,-23,"-23,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
753,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,-196,"-196,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0, 
754,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-2,"-2,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0, 
755,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,129,"129,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, 
756,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,64,"64,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, 
757,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-95,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,-74,"-74,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0, 
758,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,-147,"-147,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1, 
